category_id,x,y,z
1,-13.916768,-1.1761674,-1.6044945
24,14.386831,3.7471046,-5.7899175
24,6.926702,2.9714687,2.053498
28,9.869976,7.913326,4.879226
1,1.3380673,0.94343036,13.28658
24,13.325451,5.936394,-4.9938216
27,-9.811612,-4.6109743,10.796723
24,3.7697802,-5.621642,-8.534691
10,-10.984673,-1.2793978,-6.061685
27,-10.554868,-0.19292097,1.8464718
27,3.7165513,7.878526,-12.984384
25,12.493607,7.893989,-0.28889263
10,1.1085172,-1.2554727,4.7054696
24,5.415045,-11.261116,-3.5375936
28,13.673274,-5.0168014,3.1074255
27,-8.881136,-10.77238,1.3550274
28,7.6017957,-5.3432956,-8.322254
24,7.341074,11.202992,4.89488
24,-8.372112,-0.39108098,-10.394478
26,6.4970984,-7.7338037,-2.77897
10,4.5165024,4.436613,-2.204335
10,-1.0289241,16.227459,-0.70559454
26,0.71388596,1.5135728,10.852404
10,0.38909936,5.2162514,6.166852
24,4.0862603,-13.085021,-2.2674918
24,15.448592,1.7619756,-0.32671827
17,-0.080718115,3.1994457,12.23907
10,-4.626601,0.32958046,-4.858225
24,13.975024,3.0394385,-1.7522893
10,-5.9727397,3.8001676,8.463611
28,3.9114661,-6.2342916,8.458862
22,-7.295003,2.7496045,4.051841
26,5.255174,11.852928,5.7792344
10,-0.041092116,-4.8767543,3.3802478
10,-3.4560354,10.467934,9.741873
26,0.5515666,-0.8549839,5.3689795
10,0.17638397,6.0140696,-3.7321537
10,-7.8927264,-7.381082,6.998301
24,-4.624158,-5.414038,-9.80069
10,-10.58263,10.696595,1.9681423
24,-6.664794,4.115319,8.982886
10,-11.776978,-5.827562,-2.0090117
1,0.70350415,2.7193084,12.655204
26,8.743415,8.731254,8.570409
1,11.640904,-2.4629202,5.946997
10,-4.3514166,9.804708,9.890748
10,-7.0267606,0.26683626,-12.302457
26,-10.021293,-4.0214767,8.23815
22,3.3657358,-9.70954,5.6896744
10,-4.78579,-14.510364,1.1449809
10,-9.129471,0.6781714,8.203327
28,6.302542,-9.740912,6.2727857
10,-11.540544,-7.5835986,4.8007083
10,-13.969493,4.2932816,2.607643
